INFO 2020-12-12 14:55:40,747 judge_list Judge available after grading 4: kalia
INFO 2020-12-12 14:55:41,394 judge_list Free judges: 1
INFO 2020-12-12 14:55:41,395 judge_list Dispatched submission 4 to: kalia
INFO 2020-12-12 14:55:41,424 judge_handler Submission acknowledged: 4
INFO 2020-12-12 14:55:41,558 judge_handler kalia: Submission generated compiler messages: 4
INFO 2020-12-12 14:55:42,419 judge_handler kalia: Grading has begun on: 4
INFO 2020-12-12 14:55:43,222 judge_handler kalia: 1 test case(s) completed on: 4
INFO 2020-12-12 14:55:43,908 judge_handler kalia: 2 test case(s) completed on: 4
INFO 2020-12-12 14:55:44,082 judge_handler kalia: Grading has ended on: 4
INFO 2020-12-12 14:55:44,083 judge_list Judge available after grading 4: kalia
INFO 2020-12-12 14:55:50,290 judge_list Free judges: 1
INFO 2020-12-12 14:55:50,291 judge_list Dispatched submission 4 to: kalia
INFO 2020-12-12 14:55:50,314 judge_handler Submission acknowledged: 4
INFO 2020-12-12 14:55:51,597 judge_handler kalia: Submission generated compiler messages: 4
INFO 2020-12-12 14:55:52,692 judge_handler kalia: Grading has begun on: 4
INFO 2020-12-12 14:55:52,763 judge_handler kalia: 3 test case(s) completed on: 4
INFO 2020-12-12 14:55:53,867 judge_handler kalia: Grading has ended on: 4
INFO 2020-12-12 14:55:53,869 judge_list Judge available after grading 4: kalia
INFO 2020-12-12 14:55:55,461 judge_list Free judges: 1
INFO 2020-12-12 14:55:55,462 judge_list Dispatched submission 4 to: kalia
INFO 2020-12-12 14:55:55,484 judge_handler Submission acknowledged: 4
INFO 2020-12-12 14:55:56,777 judge_handler kalia: Submission generated compiler messages: 4
INFO 2020-12-12 14:55:58,510 judge_handler kalia: Grading has begun on: 4
INFO 2020-12-12 14:55:59,266 judge_handler kalia: 3 test case(s) completed on: 4
INFO 2020-12-12 14:56:00,949 judge_handler kalia: Grading has ended on: 4
INFO 2020-12-12 14:56:00,951 judge_list Judge available after grading 4: kalia
INFO 2020-12-12 14:56:17,511 judge_list Abort request: 4
INFO 2020-12-12 14:56:19,417 judge_list Abort request: 4
INFO 2020-12-12 14:56:21,724 judge_list Abort request: 4
INFO 2020-12-12 14:56:43,967 judge_handler Judge disconnected from: ('127.0.0.1', 37382) with name kalia
INFO 2020-12-12 14:56:44,204 daemon Exiting due to SIGINT
